settlement_id,settlement_utr,payment_id,order_id,amount,fee,tax,net_credit,type,status,created_at,settled_at
setl_S0901_001,CMS202609019237,pay_P1004_4FF1CB,ORD_1004,1094.10,21.88,3.94,1068.28,payment,captured,2026-09-01 18:35:22,2026-09-01 18:35:22
setl_S0901_002,CMS202609019237,pay_P1002_526D61,ORD_1002,2233.35,44.67,8.04,2180.64,payment,captured,2026-09-01 20:48:36,2026-09-01 20:48:36
setl_S0901_003,CMS202609019237,pay_P1001_9C38EA,ORD_1001,397.00,7.94,1.43,387.63,payment,captured,2026-09-01 20:49:13,2026-09-01 20:49:13
setl_S0902_004,CMS202609023305,pay_P1005_D9EF43,ORD_1005,879.90,17.60,3.17,859.13,payment,captured,2026-09-02 13:15:56,2026-09-02 13:15:56
setl_S0902_005,CMS202609023305,pay_P1006_21B059,ORD_1006,2268.00,45.36,8.16,2214.48,payment,captured,2026-09-02 17:27:17,2026-09-02 17:27:17
setl_S0902_006,CMS202609023305,pay_P1003_B66844,ORD_1003,976.50,19.53,3.52,953.45,payment,captured,2026-09-02 18:59:07,2026-09-02 18:59:07
setl_S0902_007,CMS202609023305,pay_P1007_28ACFE,ORD_1007,481.00,9.62,1.73,469.65,payment,captured,2026-09-02 19:47:49,2026-09-02 19:47:49
setl_S0904_008,CMS202609042093,pay_P1009_EFBC91,ORD_1009,2301.60,46.03,8.29,2247.28,payment,captured,2026-09-04 16:42:00,2026-09-04 16:42:00
setl_S0905_009,CMS202609053685,pay_P1010_2E647D,ORD_1010,2247.00,44.94,8.09,2193.97,payment,captured,2026-09-05 16:06:23,2026-09-05 16:06:23
setl_S0905_010,CMS202609053685,pay_P1008_1AB79D,ORD_1008,126.10,2.52,0.45,123.13,payment,captured,2026-09-05 19:20:12,2026-09-05 19:20:12
setl_S0906_011,CMS202609062389,pay_P1011_F8EDC4,ORD_1011,987.00,19.74,3.55,963.71,payment,captured,2026-09-06 14:45:23,2026-09-06 14:45:23
setl_S0906_012,CMS202609062389,pay_P1013_C7C784,ORD_1013,1510.95,30.22,5.44,1475.29,payment,captured,2026-09-06 15:25:52,2026-09-06 15:25:52
setl_S0907_013,CMS202609076328,pay_P1012_0A4AD8,ORD_1012,577.50,11.55,2.08,563.87,payment,captured,2026-09-07 12:51:19,2026-09-07 12:51:19
setl_S0907_014,CMS202609076328,pay_P1014_005619,ORD_1014,244.75,4.90,0.88,238.97,payment,captured,2026-09-07 19:26:57,2026-09-07 19:26:57
setl_S0908_015,CMS202609081244,pay_P1015_3E8885,ORD_1015,922.95,18.46,3.32,901.17,payment,captured,2026-09-08 15:01:49,2026-09-08 15:01:49
setl_S0908_016,CMS202609081244,pay_P1019_690BBD,ORD_1019,1581.30,31.63,5.69,1543.98,payment,captured,2026-09-08 18:29:08,2026-09-08 18:29:08
setl_S0909_017,CMS202609098010,pay_P1017_3B2885,ORD_1017,3053.40,61.07,10.99,2981.34,payment,captured,2026-09-09 10:58:14,2026-09-09 10:58:14
setl_S0909_018,CMS202609098010,pay_P1016_F20812,ORD_1016,546.00,10.92,1.97,533.11,payment,captured,2026-09-09 11:26:50,2026-09-09 11:26:50
setl_S0909_019,CMS202609098010,pay_P1020_20BB7C,ORD_1020,623.70,12.47,2.24,608.99,payment,captured,2026-09-09 19:30:03,2026-09-09 19:30:03
setl_S0910_020,CMS202609106021,pay_P1023_C02C52,ORD_1023,2761.50,55.23,9.94,2696.33,payment,captured,2026-09-10 13:59:13,2026-09-10 13:59:13
setl_S0910_021,CMS202609106021,pay_P1018_B39579,ORD_1018,98.80,1.98,0.36,96.46,payment,captured,2026-09-10 17:28:00,2026-09-10 17:28:00
setl_S0911_022,CMS202609115230,pay_P1024_5DD266,ORD_1024,418.00,8.36,1.50,408.14,payment,captured,2026-09-11 17:29:07,2026-09-11 17:29:07
setl_S0911_023,CMS202609115230,pay_P1021_11CC7D,ORD_1021,527.10,10.54,1.90,514.66,payment,captured,2026-09-11 18:23:09,2026-09-11 18:23:09
setl_S0912_024,CMS202609126886,pay_P1027_1C5586,ORD_1027,1682.10,33.64,6.06,1642.40,payment,captured,2026-09-12 17:14:09,2026-09-12 17:14:09
setl_S0912_025,CMS202609126886,pay_P1022_EA8E46,ORD_1022,1389.15,27.78,5.00,1356.37,payment,captured,2026-09-12 17:44:15,2026-09-12 17:44:15
setl_S0912_026,CMS202609126886,pay_P1025_311045,ORD_1025,1149.75,23.00,4.14,1122.61,payment,captured,2026-09-12 19:10:35,2026-09-12 19:10:35
setl_S0913_027,CMS202609132900,pay_P1026_FD1439,ORD_1026,248.95,4.98,0.90,243.07,payment,captured,2026-09-13 15:51:20,2026-09-13 15:51:20
setl_S0914_028,CMS202609144939,pay_P1030_663AF9,ORD_1030,1296.75,25.94,4.67,1266.14,payment,captured,2026-09-14 12:32:40,2026-09-14 12:32:40
setl_S0915_029,CMS202609151789,pay_P1028_0A7785,ORD_1028,1713.60,34.27,6.17,1673.16,payment,captured,2026-09-15 14:43:44,2026-09-15 14:43:44
setl_S0915_030,CMS202609151789,pay_P1029_F5FD13,ORD_1029,831.60,16.63,2.99,811.98,payment,captured,2026-09-15 15:05:08,2026-09-15 15:05:08
setl_S0915_031,CMS202609151789,pay_P1032_B32115,ORD_1032,577.50,11.55,2.08,563.87,payment,captured,2026-09-15 17:37:32,2026-09-15 17:37:32
setl_S0916_032,CMS202609166719,pay_P1031_AB7D1B,ORD_1031,1232.70,24.65,4.44,1203.61,payment,captured,2026-09-16 14:39:08,2026-09-16 14:39:08
